	INDEX	form	lemma	xpos	syllables	stress	phon
128725	128725	florii	=	Ncfson	flo.rii	flor'ii	f l o r i j
129190	129190	foamete	=	Ncfson	foa.me.te	fo'amete	f o_X a m e t e
129191	129191	foamete	=	Ncfsrn	foa.me.te	fo'amete	f o_X a m e t e
131913	131913	friz	=	Ncfp-n	friz	friz	f r i z
131914	131914	friz	=	Ncm--n	friz	friz	f r i z
131915	131915	friz	=	Ncmsvn	friz	friz	f r i z
132239	132239	frupt	=	Ncfp-n	frupt	frupt	f r u p t
132240	132240	frupt	=	Ncm--n	frupt	frupt	f r u p t
132241	132241	frupt	=	Ncmsvn	frupt	frupt	f r u p t
133664	133664	fux	=	Ncfp-n	fux	fux	f u ks
133665	133665	fux	=	Ncm--n	fux	fux	f u ks
133666	133666	fux	=	Ncmsvn	fux	fux	f u ks
135088	135088	gazbeton	=	Ncfp-n	gaz.be.ton	gazbet'on	g a z b e t o n
135089	135089	gazbeton	=	Ncm--n	gaz.be.ton	gazbet'on	g a z b e t o n
135090	135090	gazbeton	=	Ncmsvn	gaz.be.ton	gazbet'on	g a z b e t o n
135714	135714	genunchi	=	Ncmp-n	ge.nunchi	gen'unchi	gZ e n u n k_j
135715	135715	genunchi	=	Ncms-n	ge.nunchi	gen'unchi	gZ e n u n k_j
135973	135973	germene	=	Ncms-n	ger.me.ne	g'ermene	gZ e r m e n e
135974	135974	germene	=	Ncmsvy	ger.me.ne	g'ermene	gZ e r m e n e
136362	136362	ghicitoare	=	Ncf--n	ghi.ci.toa.re	ghicito'are	g_j i tS i t o_X a r e
